Run,GPU,Component,Split,Energy,CO2eq,Time,Distance
4,RTX 3090,action_pred,website,0.3,113.16,00:47:05,1.05
5,RTX 3090,action_pred,domain,0.46,175.7,01:16:09,1.63
5,RTX 3090,action_pred,task,0.48,184.64,01:18:22,1.72
5,RTX 3090,action_pred,website,0.3,115.93,00:45:42,1.08
1,RTXA6000,action_pred,domain,0.37,141.2,01:15:23,1.31
1,RTXA6000,action_pred,task,0.34,129.97,00:58:28,1.21
1,RTXA6000,action_pred,website,0.23,87.47,00:41:56,0.81
2,RTXA6000,action_pred,domain,0.43,162.6,01:19:27,1.51
2,RTXA6000,action_pred,task,0.36,135.35,00:59:37,1.26
2,RTXA6000,action_pred,website,0.23,86.4,00:40:56,0.8
3,RTXA6000,action_pred,domain,0.4,153.18,01:19:02,1.42
3,RTXA6000,action_pred,task,0.42,159.64,01:11:24,1.49
3,RTXA6000,action_pred,website,0.22,85.41,00:42:29,0.79
4,RTXA6000,action_pred,domain,1.1,419.76,03:00:48,3.9
4,RTXA6000,action_pred,task,0.34,131.23,01:01:33,1.22
4,RTXA6000,action_pred,website,0.22,83.92,00:41:12,0.78
5,RTXA6000,action_pred,domain,0.37,140.4,01:16:11,1.31
5,RTXA6000,action_pred,task,0.34,128.24,01:00:36,1.19
5,RTXA6000,action_pred,website,0.27,102.29,00:47:31,0.95
1,V100-32GB,action_pred,domain,0.53,201.18,02:04:21,1.87
1,V100-32GB,action_pred,task,0.53,202.89,01:57:17,1.89
1,V100-32GB,action_pred,website,0.33,125.09,01:17:23,1.16
2,V100-32GB,action_pred,domain,0.51,194.09,01:56:30,1.81
2,V100-32GB,action_pred,task,0.51,192.77,01:53:32,1.79
2,V100-32GB,action_pred,website,0.33,124.86,01:15:27,1.16
3,V100-32GB,action_pred,domain,0.53,201.12,01:58:35,1.87
3,V100-32GB,action_pred,task,0.55,208.53,02:13:50,1.94
3,V100-32GB,action_pred,website,0.32,120.7,01:14:22,1.12
4,V100-32GB,action_pred,domain,0.5,192.26,01:51:52,1.79
4,V100-32GB,action_pred,task,0.51,195.48,01:55:27,1.82
4,V100-32GB,action_pred,website,0.33,126.63,01:15:02,1.18
5,V100-32GB,action_pred,domain,0.5,191.68,01:47:24,1.78
5,V100-32GB,action_pred,task,0.51,194.82,01:54:58,1.81
5,V100-32GB,action_pred,website,0.32,123.59,01:13:15,1.15
